No	Simplified	Traditional	Pinyin	English
1	安慰	安慰	ānwèi	comfort
2	岸	岸	àn	bank
3	岸上	岸上	àn shàng	ashore; shore; bank
4	按摩	按摩	ànmó	massage
5	拔	拔	bá	pluck; pull out; draw; select; choose; extract
6	白酒	白酒	bái jiǔ	Chinese Baijiu; liquor and spirits
7	拜访	拜訪	bàifǎng	visit
8	版	版	bǎn	printing plate; edition; version
9	扮演	扮演	bànyǎn	Play the role
10	棒	棒	bàng	stick；excellent
11	包围	包圍	bāowéi	Surround
12	包装	包裝	bāozhuāng	pack; put up; make up
13	保卫	保衞	bǎowèi	Defend
14	保养	保養	bǎoyǎng	maintain
15	报答	報答	bàodá	reciprocate; pay back; repay
16	报警	報警	bàojǐng	call the police
17	抱怨	抱怨	bàoyuàn	Complain
18	背包	揹包	bēi bāo	backpack; knapsack; rucksack; infantry pack
19	悲剧	悲劇	bēi jù	tragedy
20	悲伤	悲傷	bēi shāng	sad; sorrowful
21	北极	北極	běijí	arctic
22	被动	被動	bèidòng	passive
23	辈	輩	bèi	generation; lifetime
24	本人	本人	běnrén	oneself
25	鼻子	鼻子	bízi	nose
26	比方	比方	bǐfāng	Example
27	比重	比重	bǐzhòng	specific gravity; proportion
28	彼此	彼此	bǐcǐ	each other
29	必	必	bì	must; certainly; necessarily
30	必需	必需	bì xū	essential; indispensable
31	毕竟	畢竟	bìjìng	after all
32	闭幕	閉幕	bì mù	close; conclude; lower the curtain
33	闭幕式	閉幕式	bì mù shì	closing ceremony
34	边境	邊境	biānjìng	border; frontier
35	编辑	編輯	biānjí	edit
36	编辑	編輯	biānji	editor
37	变动	變動	biàn dòng	change; alteration; variation
38	便利	便利	biànlì	facilitate
39	便条	便條	biàntiáo	Note
40	便于	便於	biànyú	Easy to
41	宾馆	賓館	bīnguǎn	hotel
42	饼	餅	bǐng	cake; cookie; pastry; round flat cake
43	饼干	餅乾	bǐnggān	Biscuits
44	病毒	病毒	bìngdú	virus
45	玻璃	玻璃	bōli	Glass
46	博客	博客	bó kè	blog
47	博览会	博覽會	bólǎnhuì	exposition
48	博士	博士	bóshì	doctor
49	博物馆	博物館	bówùguǎn	Museum
50	薄弱	薄弱	bóruò	weak
51	不顾	不顧	búgù	disregard
52	不利	不利	bú lì	unfavourable; disadvantageous; harmful; detrimental
53	不耐烦	不耐煩	búnàifán	Impatient
54	不幸	不幸	bú xìng	misfortune; unfortunat; unfortunately
55	不易	不易	bú yì	not easy; difficult; tough
56	补偿	補償	bǔcháng	compensate
57	补贴	補貼	bǔtiē	subsidy
58	不曾	不曾	bù céng	never
59	不得了	不得了	búdéliǎo	Very
60	不敢当	不敢當	bùgǎndāng	I really don’t deserve this.
61	不良	不良	bù liáng	bad; harmful; unhealthy
62	不免	不免	bùmiǎn	unavoidable
63	不能不	不能不	bù néng bù	have to; cannot but
64	不时	不時	bùshí	now and then
65	不停	不停	bù tíng	without stop; non-stop
66	不许	不許	bù xǔ	not allow; must not; can’t
67	不止	不止	bùzhǐ	more than
68	不足	不足	bùzú	insufficient
69	部位	部位	bùwèi	part; section
70	猜	猜	cāi	guess
71	猜测	猜測	cāi cè	guess; conjecture; surmise
72	裁判	裁判	cáipàn	Referee
73	采购	採購	cǎigòu	Purchase
74	彩票	彩票	cǎipiào	lottery
75	餐馆	餐館	cān guǎn	restaurant
76	餐厅	餐廳	cāntīng	Restaurant
77	餐饮	餐飲	cān yǐn	catering; repast
78	草原	草原	cǎo yuán	grasslands; prairie
79	册	冊	cè	book (measure word)
80	层次	層次	céngcì	gradation; arrangement
81	叉	叉	chā	fork; cross
82	叉子	叉子	chāzi	Fork
83	差别	差別	chābié	difference
84	差距	差距	chājù	disparity; distance
85	插	插	chā	insert
86	查询	查詢	chá xún	inquire; demand
87	差（一）点儿	差（一）點兒	chā（yì）diǎnr	almost; nearly
88	拆	拆	chāi	Remove
89	拆除	拆除	chāi chú	tear down; demolish; dismantle; remove
90	产业	產業	chǎnyè	industry
91	长度	長度	cháng dù	length; extent
92	长寿	長壽	cháng shòu	long life; longevity
93	肠	腸	cháng	intestine; bowel; intestinal
94	尝	嘗	cháng	taste
95	尝试	嘗試	chángshì	attempt
96	厂长	廠長	chǎng zhǎng	factory director; plant manager
97	场面	場面	chǎngmiàn	scene
98	倡导	倡導	chàngdǎo	Advocate
99	超越	超越	chāoyuè	Transcend
100	车主	車主	chē zhǔ	car owner
101	称²（动）	稱²（動）	chēng	call; say; name; commend; weigh
102	称号	稱號	chēnghào	Title
103	成本	成本	chéngběn	cost
104	成交	成交	chéngjiāo	Deal
105	成效	成效	chéngxiào	Results, effects
106	成语	成語	chéngyǔ	idiom
107	承办	承辦	chéngbàn	Undertake
108	城里	城裏	chéng lǐ	inside the city; in town
109	乘	乘	chéng	ride
110	乘车	乘車	chéng chē	riding; ride
111	乘客	乘客	chéng kè	passenger
112	乘坐	乘坐	chéngzuò	ride
113	吃力	吃力	chīlì	Sweaty
114	池子	池子	chí zi	pond; pool
115	迟	遲	chí	late; delayed; slow
116	冲动	衝動	chōngdòng	impulse
117	冲突	衝突	chōngtū	conflict
118	充足	充足	chōngzú	adequate
119	愁	愁	chóu	worry; be anxious
120	丑	醜	chǒu	ugly
121	臭	臭	chòu	smelly
122	出版	出版	chūbǎn	publish
123	出差	出差	chūchāi	A business travel
124	出汗	出汗	chū hàn	sweat; sweating
125	出于	出於	chū yú	out of; start from; proceed from; stem
126	初期	初期	chū qī	prime; initial stage; early days
127	除非	除非	chúfēi	Unless
128	除夕	除夕	chúxī	the New Year’s Eve
129	厨房	廚房	chúfáng	Kitchen
130	处罚	處罰	chǔ fá	punish; penalize; punishment
131	处分	處分	chǔfèn	prescription
132	处在	處在	chǔ zài	at; be in
133	传达	傳達	chuándá	Convey
134	传递	傳遞	chuán dì	transmit; deliver; transfer
135	传真	傳真	chuánzhēn	Fax
136	窗帘	窗簾	chuānglián	Window curtains
137	闯	闖	chuǎng	rush; dash
138	创立	創立	chuànglì	Found
139	辞典	辭典	cí diǎn	dictionary
140	辞职	辭職	cízhí	resign
141	此后	此後	cǐ hòu	after that; hereafter; henceforth
142	此刻	此刻	cǐ kè	now; at the moment
143	此时	此時	cǐ shí	this moment; now
144	聪明	聰明	cōngming	clever
145	从而	從而	cóng’ér	thus
146	从中	從中	cóng zhōng	from; therefrom
147	脆	脆	cuì	crisp; brittle; fragile; clear voice
148	存款	存款	cún kuǎn	deposit; bank savings
149	寸	寸	cùn	very short; a unit of length (=1/3 decimetre)
150	达成	達成	dáchéng	Reach
151	答	答	dá	answer; reply; respond; return
152	答复	答覆	dáfù	Reply
153	打（介）	打（介）	dǎ	from; since
154	打扮	打扮	dǎban	dress up
155	打包	打包	dǎbāo	Pack
156	打击	打擊	dǎjī	strike
157	打架	打架	dǎjià	Fight
158	打扰	打擾	dǎrǎo	Disturb
159	大胆	大膽	dà dǎn	bold; daring; audacious; audacity
160	大都	大都	dà dōu	for the most part; mostly
161	大纲	大綱	dà gāng	outline; main point; compendium
162	大伙儿	大夥兒	dàhuǒr	you all; everybody
163	大奖赛	大獎賽	dà jiǎng sài	grand prix
164	大脑	大腦	dà nǎo	cerebrum; brain
165	大事	大事	dà shì	event; in a big way
166	大厅	大廳	dà tīng	hall
167	大象	大象	dàxiàng	Elephant
168	大熊猫	大熊貓	dà xióng māo	panda; giant panda
169	大于	大於	dà yú	be greater than; more than
170	大致	大致	dàzhì	roughly
171	呆	呆	dāi	stay
172	待	待	dāi	stay
173	代价	代價	dàijià	cost
174	代理	代理	dàilǐ	agent
175	带有	帶有	dài yǒu	with; have; bear
176	贷款	貸款	dàikuǎn	extend credit to; provide a loan
177	单一	單一	dān yī	single; unitary; sole
178	胆	膽	dǎn	courage; gut; bravery; gallbladder
179	胆小	膽小	dǎn xiǎo	timid; cowardly
180	蛋糕	蛋糕	dàngāo	Cake
181	当场	當場	dāngchǎng	On the spot
182	当代	當代	dāngdài	Contemporary
183	当年	當年	dāng nián	in those years; in those days
184	当前	當前	dāngqián	current
185	当选	當選	dāngxuǎn	be elected; come in
186	挡	擋	dǎng	block
187	到来	到來	dào lái	arrival; advent
188	倒是	倒是	dào shì	on the contrary; contrariwise; actually
189	道德	道德	dàodé	Morality
190	得了	得了	dé le	stop it; hold it; got
191	得以	得以	dé yǐ	be able to
192	等候	等候	děnghòu	Wait
193	等级	等級	děngjí	grade; rank
194	低于	低於	dī yú	below; under
195	地带	地帶	dì dài	zone; district; region
196	地形	地形	dì xíng	terrain; topography; orographic
197	地震	地震	dìzhèn	earthquake
198	递	遞	dì	Delivery
199	递给	遞給	dì gěi	hand over; pass on
200	典礼	典禮	diǎnlǐ	Ceremony
201	点燃	點燃	diǎn rán	light; ignite; kindle
202	电池	電池	diànchí	Battery
203	电饭锅	電飯鍋	diàn fàn guō	rice cooker
204	电子版	電子版	diàn zǐ bǎn	electronic edition
205	调动	調動	diàodòng	transfer
206	丢	丟	diū	lose
207	动机	動機	dòngjī	motivation
208	动手	動手	dòngshǒu	DIY
209	动态	動態	dòngtài	dynamic
210	动员	動員	dòngyuán	mobilization
211	冻	凍	dòng	freeze
212	洞	洞	dòng	hole
213	豆制品	豆製品	dòu zhì pǐn	bean products
214	毒	毒	dú	poison; toxin; narcotics; poisonous
215	堆	堆	duī	heap
216	对立	對立	duìlì	Opposition
217	对应	對應	duìyìng	Corresponding
218	吨	噸	dūn	ton
219	朵	朵	duǒ	classifier of flower
220	躲	躲	duǒ	hide; avoid; dodge
221	儿女	兒女	ér nǚ	sons and daughters; children
222	耳朵	耳朵	ěrduo	Ears
223	二维码	二維碼	èr wéi mǎ	QR code
224	发布	發佈	fābù	Release
225	发觉	發覺	fājué	find
226	发射	發射	fāshè	launch
227	发行	發行	fāxíng	issue
228	罚	罰	fá	punish; penalize; punishment; retribution
229	罚款	罰款	fákuǎn	forfeit; amerce; fine
230	法规	法規	fǎ guī	rule of law; statute; law
231	法制	法制	fǎ zhì	legal system
232	繁荣	繁榮	fánróng	Boom
233	返回	返回	fǎn huí	return; backtrack; go back
234	防治	防治	fángzhì	Prevention and cure
235	放大	放大	fàngdà	enlarge
236	放弃	放棄	fàngqì	give up
237	分成	分成	fēn chéng	divide into; separate into
238	分解	分解	fēnjiě	decompose
239	分类	分類	fēn lèi	classify; assort; classification; sort
240	分离	分離	fēn lí	separate; sever; dissociate; detachment
241	分析	分析	fēnxī	Analysis
242	分享	分享	fēn xiǎng	share; partake
243	丰收	豐收	fēngshōu	Have bumper harvest
244	风度	風度	fēngdù	Manner
245	风光	風光	fēngguāng	Scenery
246	封（动）	封（動）	fēng	seal; confer; envelop
247	疯	瘋	fēng	mad; crazy; insane
248	疯狂	瘋狂	fēngkuáng	Insane
249	扶	扶	fú	hold up
250	服从	服從	fúcóng	Obey
251	幅	幅	fú	classifier of picture
252	幅度	幅度	fúdù	range; extent
