No	Simplified	Traditional	Pinyin	English
1	阿姨	阿姨	āyí	aunt
2	啊	啊	a	ah
3	矮	矮	ǎi	short
4	矮小	矮小	ǎi xiǎo	short and small; low and small; undersized
5	爱国	愛國	ài guó	love one’s country; be patriotic
6	爱护	愛護	àihù	Care
7	安	安	ān	quiet; safe; secure; install; fix; fit
8	安置	安置	ānzhì	put; arrange for
9	按时	按時	ànshí	on time
10	暗	暗	àn	dark
11	暗示	暗示	ànshì	suggest secretly
12	巴士	巴士	bā shì	bus
13	百货	百貨	bǎi huò	department store; general merchandise
14	摆	擺	bǎi	pendulum
15	摆动	擺動	bǎi dòng	swing; sway; oscillate;vibrate
16	摆脱	擺脱	bǎituō	cast off
17	败	敗	bài	defeat; beat; fail; lose
18	办事	辦事	bàn shì	handle affairs; work
19	包裹	包裹	bāoguǒ	package
20	包含	包含	bāohán	Contain
21	包括	包括	bāokuò	Include
22	薄	薄	báo	thin
23	宝	寶	bǎo	treasure; precious; treasured
24	宝宝	寶寶	bǎo bao	baby; darling
25	宝贝	寶貝	bǎobèi	baby
26	宝贵	寶貴	bǎoguì	valuable
27	宝石	寶石	bǎo shí	gemstone; gem; cameo; precious stone
28	保密	保密	bǎomì	secrecy
29	保守	保守	bǎoshǒu	Conservative
30	抱	抱	bào	Hold, hug
31	背景	背景	bèijǐng	background
32	倍	倍	bèi	times
33	被迫	被迫	bèi pò	be compelled; be forced; be constrained
34	本科	本科	běnkē	Undergraduate
35	笨	笨	bèn	stupid
36	比分	比分	bǐ fēn	score
37	毕业	畢業	bìyè	graduation
38	毕业生	畢業生	bì yè shēng	graduate
39	避	避	bì	avoid; evade; dodge; keep away; repel
40	避免	避免	bìmiǎn	avoid
41	编	編	biān	invent; make up; plait; edit; compile; compose; write
42	辩论	辯論	biànlùn	Debate
43	标志	標誌	biāozhì	sign
44	表情	表情	biǎoqíng	Expression
45	表扬	表揚	biǎoyáng	Praise
46	别（动）	別（動）	bié	do not; leave; separate; pin
47	冰	冰	bīng	ice
48	冰箱	冰箱	bīngxiāng	Refrigerator
49	冰雪	冰雪	bīng xuě	ice and snow
50	兵	兵	bīng	arms; soldier; force; weapon; military
51	并（动）	並（動）	bìng	combine; merge; incorporate
52	不要紧	不要緊	búyàojǐn	Never mind
53	不在乎	不在乎	bú zài hū	not mind; not care
54	不管	不管	bùguǎn	no matter
55	不然	不然	bùrán	otherwise
56	布置	佈置	bùzhì	Arrangement
57	步行	步行	bù xíng	go on foot; walk
58	擦	擦	cā	wipe
59	才（名）	才（名）	cái	ability; talent; gift; endowment
60	材料	材料	cáiliào	Materials
61	财产	財產	cáichǎn	property
62	财富	財富	cáifù	wealth
63	采访	採訪	cǎifǎng	interview
64	参考	參考	cānkǎo	Reference resources
65	参与	參與	cānyù	participate in
66	操场	操場	cāochǎng	Playground
67	操作	操作	cāozuò	operation
68	测	測	cè	survey; fathom; measure; conjecture; infer
69	测量	測量	cèliáng	measure
70	测试	測試	cè shì	test; examination
71	曾	曾	céng	once; already; at some time in the past
72	茶叶	茶葉	chá yè	tea; tea-leaves
73	产品	產品	chǎnpǐn	product
74	长途	長途	chángtú	Long-distance
75	常识	常識	chángshí	common sense
76	唱片	唱片	chàng piàn	record; disc; phonogram
77	抄	抄	chāo	copy
78	抄写	抄寫	chāo xiě	copy; transcribe
79	潮	潮	cháo	moist; damp; humid; tide
80	潮流	潮流	cháoliú	Trend
81	潮湿	潮濕	cháoshī	damp
82	彻底	徹底	chèdǐ	thorough
83	沉	沉	chén	sink; keep down; lower; deep; profound; heavy
84	沉默	沉默	chénmò	silent
85	沉重	沉重	chénzhòng	heavy
86	称赞	稱讚	chēngzàn	Praise
87	成人	成人	chéngrén	adult
88	诚实	誠實	chéngshí	honest
89	诚信	誠信	chéng xìn	honesty; integrity
90	承担	承擔	chéngdān	bear
91	承认	承認	chéngrèn	Admit
92	承受	承受	chéngshòu	bear
93	程序	程序	chéngxù	program
94	吃惊	吃驚	chījīng	Be amazed
95	迟到	遲到	chídào	Late
96	尺	尺	chǐ	rule; ruler
97	尺寸	尺寸	chǐ cùn	size; measurement; dimension
98	尺子	尺子	chǐzi	Ruler
