No	Simplified	Traditional	Pinyin	English
1	啊 	啊 	a	auxiliary word
2	爱情	愛情	àiqíng	Love
3	爱人	愛人	ài rén	lover
4	安静	安靜	ānjìng	Be quiet
5	安全	安全	ānquán	security
6	白色	白色	bái sè	white
7	班长	班長	bān zhǎng	monitor; squad leader
8	办	辦	bàn	do
9	办法	辦法	bànfǎ	Way
10	办公室	辦公室	bàngōngshì	Office
11	半夜	半夜	bàn yè	midnight
12	帮助	幫助	bāngzhù	Help
13	饱	飽	bǎo	full
14	报名	報名	bàomíng	sign up
15	报纸	報紙	bàozhǐ	Newspaper
16	北方	北方	běifāng	north
17	背（动）	背（動）	bēi	carry on the back; shoulder
18	比如	比如	bǐrú	such as
19	比如说	比如説	bǐ rú shuō	for example
20	笔	筆	bǐ	pen
21	笔记	筆記	bǐ jì	note; notes
22	笔记本	筆記本	bǐjìběn	Notebook
23	必须	必須	bìxū	Must
24	边	邊	biān	side
25	变	變	biàn	change
26	变成	變成	biàn chéng	become; change into
27	遍	遍	biàn	Times
28	表	表	biǎo	watch
29	表示	表示	biǎoshì	Express
30	不错	不錯	bú cuò	not bad; pretty good
31	不但	不但	bú dàn	not only
32	不够	不夠	bú gòu	not enough
33	不过	不過	búguò	However
34	不太	不太	bú tài	not too; not very much
35	不要	不要	bú yào	don’t
36	不好意思	不好意思	bù hǎo yì sī	sorry; feel embarrassed
37	不久	不久	bù jiǔ	soon
38	不满	不滿	bù mǎn	dissatisfied
39	不如	不如	bùrú	not as good as
40	不少	不少	bù shǎo	not a few; a lot
41	不同	不同	bù tóng	different
42	不行	不行	bù xíng	no way; be out of the question
43	不一定	不一定	bù yī dìng	not necessarily; uncertain
44	不一会儿	不一會兒	bù yī huìr	in a moment; in a little while; soon
45	部分	部分	bùfen	Part
46	才（副）	才（副）	cái	only; just
47	菜单	菜單	càidān	menu
48	参观	參觀	cānguān	visit
49	参加	參加	cānjiā	participate in
50	草	草	cǎo	grass
51	草地	草地	cǎo dì	grass; lawn
52	层	層	céng	layer
53	查	查	chá	search; check
54	差不多	差不多	chàbuduō	Almost
55	长	長	cháng	long
56	常见	常見	cháng jiàn	common
57	常用	常用	cháng yòng	in common use
58	场	場	chǎng	site
59	超过	超過	chāoguò	Exceed
60	超市	超市	chāoshì	Supermarket
61	车辆	車輛	chē liàng	car; vehicle
62	称¹（动）	稱¹（動）	chēng	call; say
63	成（动）	成（動）	chéng	become; finish
64	成绩	成績	chéngjì	achievement
65	成为	成為	chéngwéi	Become
66	重复	重複	chóngfù	repeat
67	重新	重新	chóngxīn	again
68	出发	出發	chūfā	Set out
69	出国	出國	chū guó	go abroad
70	出口（名）	出口（名）	chū kǒu	export
71	出门	出門	chū mén	go out
72	出生	出生	chūshēng	Birth
73	出现	出現	chūxiàn	Appear
74	出院	出院	chū yuàn	discharged; leave hospital
75	出租	出租	chū zū	rent
76	出租车	出租車	chūzūchē	Taxi
77	船	船	chuán	ship
78	吹	吹	chuī	blow
79	春节	春節	chūn jié	Spring Festival; Chinese New Year
80	春天	春天	chūn tiān	spring
81	词	詞	cí	word
82	词典	詞典	cídiǎn	Dictionary
83	词语	詞語	cíyǔ	terms
84	从小	從小	cóng xiǎo	from childhood
85	答应	答應	dāying	promise
86	打工	打工	dǎgōng	Work
87	打算	打算	dǎsuàn	Plan
88	打印	打印	dǎyìn	Print
89	大部分	大部分	dà bù fèn	most
90	大大	大大	dà dà	greatly; enormously
91	大多数	大多數	dà duō shù	most; great majority
92	大海	大海	dà hǎi	sea
93	大家	大家	dàjiā	everybody
94	大量	大量	dà liàng	a lot of; lots of
95	大门	大門	dà mén	door; gate
96	大人	大人	dà rén	adult
97	大声	大聲	dà shēng	loud
98	大小	大小	dà xiǎo	size
99	大衣	大衣	dà yī	overcoat
100	大自然	大自然	dà zì rán	nature
101	带	帶	dài	belt
102	带来	帶來	dài lái	bring
103	单位	單位	dānwèi	Company
104	但	但	dàn	but; however
105	但是	但是	dàn shì	but; however
106	蛋	蛋	dàn	egg
107	当	當	dāng	When
108	当时	當時	dāngshí	at that time
109	倒	倒	dǎo	fall, topple, fail
110	到处	到處	dàochù	everywhere
111	倒	倒	dào	inverted
112	道	道	dào	road; way; path
113	道理	道理	dàolǐ	truth
114	道路	道路	dào lù	road; way; path
115	得	得	dé	get
116	得出	得出	dé chū	obtain results; reach conclusion
117	的话	的話	de huà	if
118	得	得	de	auxiliary verb
119	灯	燈	dēng	lamp
120	等（助、名）	等（助、名）	děng	etc.; and so on
121	等到	等到	děng dào	wait until; by the time
122	等于	等於	děngyú	Be equal to
123	低	低	dī	low
124	地球	地球	dìqiú	earth
125	地铁	地鐵	dìtiě	metro
126	地铁站	地鐵站	dì tiě zhàn	subway station
127	点头	點頭	diǎn tóu	nod
128	店	店	diàn	shop; store
129	掉	掉	diào	fall
130	东北	東北	dōng běi	northeast
131	东方	東方	dōng fāng	east
132	东南	東南	dōng nán	southeast
133	冬天	冬天	dōng tiān	winter
134	懂	懂	dǒng	understand
135	懂得	懂得	dǒng de	know; understand; comprehend
136	动物	動物	dòngwù	Animal
137	动物园	動物園	dòng wù yuán	zoo
138	读音	讀音	dú yīn	pronunciation
139	度	度	dù	degree; limit
140	短	短	duǎn	short
141	短信	短信	duǎnxìn	message
142	段	段	duàn	paragraph
143	队	隊	duì	team
144	队长	隊長	duì zhǎng	team leader; captain
145	对（介、动）	對（介、動）	duì	to; at; face; be opposite; answer
146	对话	對話	duìhuà	dialogue
147	对面	對面	duìmiàn	Opposite side
148	多（副）	多（副）	duō	much more; far more
149	多久	多久	duō jiǔ	how long
150	多么	多麼	duōme	what
151	多数	多數	duō shù	most; majority
152	多云	多雲	duō yún	cloudy
153	而且	而且	ér qiě	and
154	发	發	fā	send out
155	发现	發現	fāxiàn	find
156	饭馆	飯館	fàn guǎn	restaurant
157	方便	方便	fāngbiàn	convenient
158	方便面	方便麪	fāng biàn miàn	Instant noodles
159	方法	方法	fāngfǎ	Method
160	方面	方面	fāngmiàn	Aspect
161	方向	方向	fāngxiàng	direction
162	放下	放下	fàng xià	put down; lay down; drop
163	放心	放心	fàngxīn	Don’t worry
164	分（动）	分（動）	fēn	divide; part; distribute
165	分开	分開	fēn kāi	separate; part
166	分数	分數	fēn shù	score; mark; fraction
167	分钟	分鐘	fēnzhōng	Minute
168	份	份	fèn	share
169	封（量）	封（量）	fēng	(measure word)
170	服务	服務	fú wù	service
171	复习	複習	fùxí	Review
172	该（动）	該（動）	gāi	deserve; should; owe
173	改	改	gǎi	change; correct; revise; switch over
174	改变	改變	gǎibiàn	change
175	干杯	乾杯	gānbēi	Cheers!
176	感到	感到	gǎn dào	feel; sense
177	感动	感動	gǎndòng	Be moved
178	感觉	感覺	gǎnjué	feel
179	感谢	感謝	gǎnxiè	Thank
180	干活儿	幹活兒	gànhuór	work on a job
181	刚	剛	gāng	just
182	刚才	剛才	gāngcái	just
183	刚刚	剛剛	gāng gāng	just; only; just a moment ago
184	高级	高級	gāojí	senior
185	高中	高中	gāo zhōng	senior high school
186	个子	個子	gèzi	Height
187	更	更	gèng	more
188	公共汽车	公共汽車	gōnggòngqìchē	Bus
189	公交车	公交車	gōng jiāo chē	bus
190	公斤	公斤	gōngjīn	Kg.
191	公里	公里	gōnglǐ	kilometre
192	公路	公路	gōng lù	highway; highroad
193	公平	公平	gōngpíng	fair
194	公司	公司	gōngsī	company
195	公园	公園	gōngyuán	Park
196	狗	狗	gǒu	Dog
197	够	夠	gòu	enough
198	故事	故事	gùshi	Story
199	故意	故意	gùyì	deliberately
200	顾客	顧客	gùkè	customer
201	关机	關機	guān jī	shutdown
202	关心	關心	guānxīn	Care for
203	观点	觀點	guāndiǎn	viewpoint
204	广场	廣場	guǎngchǎng	square
205	广告	廣告	guǎnggào	Advertisement
206	国际	國際	guójì	international
207	过来	過來	guò lái	come; come over
208	过年	過年	guò nián	celebrate the New Year
209	过去（动）	過去（動）	guò qù	go over; pass by
210	过	過	guò	cross; pass; spend; live
211	海	海	hǎi	sea
212	海边	海邊	hǎi biān	seaside
213	喊	喊	hǎn	shout
214	好（副）	好（副）	hǎo	well; fine; okay
215	好处	好處	hǎochu	benefit
216	好多	好多	hǎo duō	many; a lot of
217	好久	好久	hǎo jiǔ	for a long time; long
218	好人	好人	hǎo rén	good person
219	好事	好事	hǎo shì	good deed; good thing
220	好像	好像	hǎoxiàng	Be like
221	合适	合適	héshì	appropriate
222	河	河	hé	river
223	黑	黑	hēi	black
224	黑板	黑板	hēibǎn	blackboard
225	黑色	黑色	hēi sè	black
226	红	紅	hóng	red
227	红色	紅色	hóng sè	red
228	后来	後來	hòulái	later
229	忽然	忽然	hūrán	suddenly
230	湖	湖	hú	lake
231	护照	護照	hùzhào	passport
232	花（动）	花（動）	huā	spend; expend
233	花园	花園	huā yuán	garden
234	画	畫	huà	painting
235	画家	畫家	huà jiā	painter; artist
236	画儿	畫兒	huàr	painting; drawing
237	坏处	壞處	huài chù	disadvantage; harm
238	坏人	壞人	huài rén	bad person
239	欢迎	歡迎	huānyíng	Welcome
240	换	換	huàn	change
241	黄	黃	huáng	yellow
242	黄色	黃色	huáng sè	yellow
243	回（量）	回（量）	huí	(measure word)
244	回国	回國	huí guó	return home from abroad
245	会（名）	會（名）	huì	meeting; gathering; conference; union; party
246	活动	活動	huódòng	activity
247	或	或	huò	or
248	或者	或者	huòzhě	perhaps
249	机会	機會	jīhuì	Opportunity
250	鸡	雞	jī	chicken
251	级	級	jí	level; rank; grade; degree; step
252	急	急	jí	fast; anxious; urgent; annoyed
253	计划	計劃	jìhuà	plan
254	计算机	計算機	jì suàn jī	computer
255	加	加	jiā	add; increase; put in
256	加油	加油	jiā yóu	oil; refuel; make an all-out effort
257	家（科学家）	家（科學家）	jiā	noun suffix (scientist)
258	家庭	家庭	jiātíng	Family
259	家长	家長	jiā zhǎng	parent; the head of the family
260	假	假	jiǎ	false
261	假期	假期	jià qī	holiday; vacation
